<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>turşularsınız</s>	<s>turşularınızdan</s>	<s>turşularınızdan</s>
<s>kısalığınızın</s>	<s>kısalıklarına</s>	<s>kısalıklarına</s>
<s>zaferlerimden</s>	<s>zaferinizi</s>	<s>zaferinizi</s>
<s>hüzünlerimizi</s>	<s>hüzünlerinizin</s>	<s>hüzünlerinizin</s>
<s>erneklerimizi</s>	<s>erneğimden</s>	<s>erneğimden</s>
<s>taşlarınızdan</s>	<s>taşlarınız</s>	<s>taşlarınız</s>
<s>kızlarınızdan</s>	<s>kızlarmışsınız</s>	<s>kızlarmışsınız</s>
<s>seyahatinizde</s>	<s>seyahatlerine</s>	<s>seyahatlerine</s>
<s>gülüşlerinizi</s>	<s>gülüşlerini</s>	<s>gülüşlerini</s>
<s>hançerlerimiz</s>	<s>hançerini</s>	<s>hançerini</s>
<s>taksilerinizi</s>	<s>taksilerim</s>	<s>taksilerim</s>
<s>külfetlerimin</s>	<s>külfetlerimiz</s>	<s>külfetlerimiz</s>
<s>figüranlardır</s>	<s>figüranlarımızın</s>	<s>figüranlarımızın</s>
<s>ittirtmediniz</s>	<s>ittirtiyordunuz</s>	<s>ittirtiyordunuz</s>
<s>söylemiyordun</s>	<s>söyledik</s>	<s>söyledik</s>
<s>cüzzamlarınız</s>	<s>cüzzamınız</s>	<s>cüzzamınız</s>
<s>eklermişsiniz</s>	<s>eklersiniz</s>	<s>eksiniz</s>
<s>erkeceylerine</s>	<s>erkeceyini</s>	<s>erkeceyini</s>
<s>topluluktular</s>	<s>topluluğunun</s>	<s>topluluğunun</s>
<s>yolundurmadın</s>	<s>yolunduruyordum</s>	<s>yolunduruyordum</s>
<s>ücretliliğini</s>	<s>ücretliliğimizden</s>	<s>ücretliliğimizden</s>
<s>oyalamıyorduk</s>	<s>oyalayacaksın</s>	<s>oyalayacaksın</s>
<s>saydırmıyoruz</s>	<s>sayıyoruz</s>	<s>saydırıyoruz</s>
<s>gidilmiyorlar</s>	<s>gidileceksiniz</s>	<s>gidileceksiniz</s>
<s>damatlarınıza</s>	<s>damatımızı</s>	<s>damadımızı</s>
<s>büktürteceğim</s>	<s>büktürtmeyecekler</s>	<s>büktürtmeyecekler</s>
<s>mumyalarımdan</s>	<s>mumyaydınız</s>	<s>mumyaydınız</s>
<s>alkışlarınızı</s>	<s>alkışlarını</s>	<s>alkışlarını</s>
<s>pırasalarımız</s>	<s>pırasalarınızda</s>	<s>pırasalarınızda</s>
<s>sürüngenimizi</s>	<s>sürüngeni</s>	<s>sürüngeni</s>
<s>sattırırsınız</s>	<s>sattırırmadılar</s>	<s>satırtmadılar</s>
<s>yoğurtçusunda</s>	<s>yoğurtçuymuşuz</s>	<s>yoğurtçuymuşuz</s>
<s>itiliyorlardı</s>	<s>itiliyorsunuz</s>	<s>itiliyorsunuz</s>
<s>atlılarınızda</s>	<s>atlınıza</s>	<s>atlınıza</s>
<s>ittirilmezsin</s>	<s>ittirilmiyordu</s>	<s>ittirilmiyordu</s>
<s>karıncasından</s>	<s>karıncamızdan</s>	<s>karıncamızdan</s>
<s>lepistesimden</s>	<s>lepistesimi</s>	<s>lepistesimi</s>
<s>yaşammışsınız</s>	<s>yaşamlarsınız</s>	<s>yaşamlarsınız</s>
<s>kümeslerdiniz</s>	<s>kümeslerde</s>	<s>kümeslerde</s>
<s>iskenderimizi</s>	<s>iskenderine</s>	<s>iskenderine</s>
<s>gecelerimizin</s>	<s>geceyi</s>	<s>geceyi</s>
<s>taklitçileriz</s>	<s>taklitçilerinin</s>	<s>taklitçilerinin</s>
<s>yengecinizden</s>	<s>yengeçlerinizin</s>	<s>yengeçlerinizin</s>
<s>kalfalardınız</s>	<s>kalfamızı</s>	<s>kalfamızı</s>
<s>defterleriniz</s>	<s>defterimizde</s>	<s>defterimizde</s>
<s>perestroikanı</s>	<s>perestroikalarının</s>	<s>perestroikalarının</s>
<s>kâinatımızdan</s>	<s>kâinatları</s>	<s>kâinatları</s>
<s>gebermiyordun</s>	<s>gebermezler</s>	<s>gebermezler</s>
<s>bozunumumuzun</s>	<s>bozunumunuzdan</s>	<s>bozunumunuzdan</s>
<s>pastırmasında</s>	<s>pastırmalarından</s>	<s>pastırmalarından</s>
<s>objelerimizde</s>	<s>objenden</s>	<s>objenden</s>
<s>sabanlarımıza</s>	<s>sabanlarının</s>	<s>sabanlarının</s>
<s>akciğerlerine</s>	<s>akciğerin</s>	<s>akciğerin</s>
<s>fizikçilerdir</s>	<s>fizikçilerdik</s>	<s>fizikçilerdik</s>
<s>deneyiminizin</s>	<s>deneyimleriniz</s>	<s>deneyimleriniz</s>
<s>asteroitlerde</s>	<s>asteroitleri</s>	<s>asteroitleri</s>
<s>külotlarımıza</s>	<s>külodum</s>	<s>külodum</s>
<s>zibidiymişler</s>	<s>zibidilerin</s>	<s>zibidilerin</s>
<s>ittirmiyordun</s>	<s>ittirmez</s>	<s>ittirmez</s>
<s>kaçamağınızda</s>	<s>kaçamağımıza</s>	<s>kaçamağımıza</s>
<s>istirahatımın</s>	<s>istirahatını</s>	<s>istirahatını</s>
<s>ücretsizlikte</s>	<s>ücretsizliğine</s>	<s>ücretsizliğine</s>
<s>atıştırıyordu</s>	<s>atıştırmıyordum</s>	<s>atıştırmıyordum</s>
<s>duymamalarıma</s>	<s>duymamaları</s>	<s>duymamaları</s>
<s>kolonyaymışız</s>	<s>kolonyanızdan</s>	<s>kolonyanızdan</s>
<s>rahiplerinize</s>	<s>rahibinden</s>	<s>rahibinden</s>
<s>şarapçımızdan</s>	<s>şarapçıları</s>	<s>şarapçıları</s>
<s>jaluzileriniz</s>	<s>jaluzilerinizin</s>	<s>jaluzilerinizin</s>
<s>kamuslarınızı</s>	<s>kamusmuşuz</s>	<s>kamusmuşuz</s>
<s>taraflarından</s>	<s>taraflarınızın</s>	<s>taraflarınızın</s>
<s>hastanelerine</s>	<s>hastanenize</s>	<s>hastanenize</s>
<s>mazlumlarımda</s>	<s>mazlumumda</s>	<s>mazlumumda</s>
<s>pastalarımdan</s>	<s>pastalara</s>	<s>pastalara</s>
<s>bıçaklıyorsun</s>	<s>bıçaklamadım</s>	<s>bıçaklamadım</s>
<s>ofislerinizde</s>	<s>ofis</s>	<s>ofis</s>
<s>soygazlarının</s>	<s>soygazını</s>	<s>soygazını</s>
<s>yarınlarınıza</s>	<s>yarınınızı</s>	<s>yarınınızı</s>
<s>kahramanınızı</s>	<s>kahramanlarını</s>	<s>kahramanlarını</s>
<s>palikaryandan</s>	<s>palikaryanda</s>	<s>palikaryanda</s>
<s>ettirtmiyordu</s>	<s>ettirtmiyorlar</s>	<s>ettirtmiyorlar</s>
<s>gelinmiyordum</s>	<s>gelinecek</s>	<s>gelinecek</s>
<s>barajlarımızı</s>	<s>barajlara</s>	<s>barajlara</s>
<s>iblislerimizi</s>	<s>iblislerinden</s>	<s>iblislerinden</s>
<s>kapaklarınızı</s>	<s>kapakmışsınız</s>	<s>kapakmışsınız</s>
<s>gübrelerinize</s>	<s>gübreler</s>	<s>gübreler</s>
<s>topluluklarız</s>	<s>topluluklar</s>	<s>topluluklar</s>
<s>tuzlarınızdan</s>	<s>tuzuma</s>	<s>tuzuma</s>
<s>kaybolmuyoruz</s>	<s>kaybolmayız</s>	<s>kaybolmayız</s>
<s>göstermediler</s>	<s>gösterdim</s>	<s>gösterdim</s>
<s>börülcelerime</s>	<s>börülcenden</s>	<s>börülcenden</s>
<s>ağlattırırsın</s>	<s>ağlattırıyorsun</s>	<s>ağlattırıyorsun</s>
<s>başkanlarımın</s>	<s>başkanlarımızdan</s>	<s>başkanlarımızdan</s>
<s>çişlerimizden</s>	<s>çişlerini</s>	<s>çişlerini</s>
<s>demlemiyorduk</s>	<s>demliyorduk</s>	<s>demliyorduk</s>
<s>yıpratmıyorum</s>	<s>yıprattık</s>	<s>yıprattık</s>
<s>toplulukların</s>	<s>topluluklar</s>	<s>topluluklar</s>
<s>tanıtmıyorsun</s>	<s>tanıtmıyorduk</s>	<s>tanıtmıyorduk</s>
<s>kombinasyonun</s>	<s>kombinasyon</s>	<s>kombinasyon</s>
<s>aseksüelmişiz</s>	<s>aseksüellerinden</s>	<s>aseksüellerinden</s>
<s>maskarasından</s>	<s>maskaralarmışız</s>	<s>maskaralarmışız</s>
<s>anjiyolarımın</s>	<s>anjiyolarına</s>	<s>anjiyolarına</s>
<s>sindiriminize</s>	<s>sindirimleri</s>	<s>sindirimleri</s>
<s>parçalarından</s>	<s>parçası</s>	<s>parçası</s>
<s>dirilmeiyorum</s>	<s>dirilmiyordun</s>	<s>dirilmeiyordun</s>
<s>atılmayacağım</s>	<s>atılırlar</s>	<s>atılırlar</s>
<s>yangınlarımın</s>	<s>yangınlarında</s>	<s>yangınlarında</s>
<s>taslaklarınız</s>	<s>taslağı</s>	<s>taslağı</s>
<s>balıklarımızı</s>	<s>balıklara</s>	<s>balıklara</s>
<s>mühimliğinize</s>	<s>mühimlikleriniz</s>	<s>mühimlikleriniz</s>
<s>arkadaşlarımı</s>	<s>arkadaşın</s>	<s>arkadaşın</s>
<s>hinterlandına</s>	<s>hinterlandını</s>	<s>hinterlandını</s>
<s>çalgıcılardır</s>	<s>çalgıcılarını</s>	<s>çalgıcılarını</s>
<s>bandajlarında</s>	<s>bandajlarını</s>	<s>bandajlarını</s>
<s>şortlarınızda</s>	<s>şortların</s>	<s>şortların</s>
<s>tütüncülerimi</s>	<s>tütünce</s>	<s>tütüncüye</s>
<s>marangozlardı</s>	<s>marangozlarınızı</s>	<s>marangozlarınızı</s>
<s>kirişlerimden</s>	<s>kirişlerinde</s>	<s>kirişlerinde</s>
<s>üşeneceksiniz</s>	<s>üşenmeyeceğim</s>	<s>üşenmeyeceğim</s>
<s>doğruyordunuz</s>	<s>doğramam</s>	<s>doğramam</s>
<s>daldırıyordum</s>	<s>daldırmazsın</s>	<s>daldırmazsın</s>
<s>yumurtalıkları</s>	<s>yumurtalığınıza</s>	<s>yumurtalığınıza</s>
<s>bulunmayacağız</s>	<s>bulunmayacaklar</s>	<s>bulunmayacaklar</s>
<s>heykelciklerim</s>	<s>heykelciğinizin</s>	<s>heykelciğinizin</s>
<s>otomobillerdir</s>	<s>otomobili</s>	<s>otomobili</s>
<s>yoğurtçularını</s>	<s>yoğurtçunda</s>	<s>yoğurtçunda</s>
<s>çiftliklerimin</s>	<s>çiftlikleri</s>	<s>çiftlikleri</s>
<s>iskenderlerini</s>	<s>iskenderi</s>	<s>iskenderi</s>
<s>izleyicilerdik</s>	<s>izleyicim</s>	<s>izleyicim</s>
<s>eşcinselmişler</s>	<s>eşcinsellerinde</s>	<s>eşcinsellerinde</s>
<s>ücretliliğinin</s>	<s>ücretliliklerimin</s>	<s>ücretliliklerimin</s>
<s>mazlumlarımıza</s>	<s>mazlumunuzun</s>	<s>mazlumunuzun</s>
<s>ortaklığımızın</s>	<s>ortaklıklarınız</s>	<s>ortaklıklarınız</s>
<s>smileylerimize</s>	<s>smileylerinden</s>	<s>smileylerinden</s>
<s>tatbiklerimden</s>	<s>tatbiklerimin</s>	<s>tatbiklerimin</s>
<s>kataloğunuzdan</s>	<s>kataloğumuzun</s>	<s>kataloğumuzun</s>
<s>kasaplarınızın</s>	<s>kasaplarına</s>	<s>kasaplarına</s>
<s>futbolcularmış</s>	<s>futbolcunu</s>	<s>futbolcunu</s>
<s>ittirtilmezsin</s>	<s>ittirtilmiyordun</s>	<s>ittirtilmiyordun</s>
<s>programlanıyor</s>	<s>programlanmadın</s>	<s>programlanmadın</s>
<s>bulgurlarımıza</s>	<s>bulgurunu</s>	<s>bulgurunu</s>
<s>aldırtmaıyorum</s>	<s>aldırtmamı</s>	<s>aldırtmamam</s>
<s>gözlükçümüzden</s>	<s>gözlükçülerini</s>	<s>gözlükçülerini</s>
<s>satırtmazsınız</s>	<s>satırtmam</s>	<s>satırtmam</s>
<s>bitiriyordunuz</s>	<s>bitirmedin</s>	<s>bitirmedin</s>
<s>otoculuğunuzda</s>	<s>otoculuklarımızda</s>	<s>otoculuklarımızda</s>
<s>zağarlarınızda</s>	<s>zağarlardık</s>	<s>zağarlardık</s>
<s>malumatınızdan</s>	<s>malumatlarının</s>	<s>malumatlarının</s>
<s>yedeklerimizin</s>	<s>yedeğinize</s>	<s>yedeğinize</s>
<s>düşmanlarınıza</s>	<s>düşmanından</s>	<s>düşmanından</s>
<s>iribaşlarımdan</s>	<s>iribaşımda</s>	<s>iribaşımda</s>
<s>sınıflarımızın</s>	<s>sınıflarında</s>	<s>sınıflarında</s>
<s>kaldırımlarıma</s>	<s>kaldırımlarımıza</s>	<s>kaldırımlarımıza</s>
<s>fortlayacaksın</s>	<s>fortlamazlar</s>	<s>fortlamazlar</s>
<s>ülkelerimizden</s>	<s>ülkelere</s>	<s>ülkelere</s>
<s>aygıtçığımızda</s>	<s>aygıtçığımızın</s>	<s>aygıtçığımızın</s>
<s>otellerimizden</s>	<s>otellerimde</s>	<s>otellerimde</s>
<s>ketçaplarınıza</s>	<s>ketçaplara</s>	<s>ketçaplara</s>
<s>gondollarımıza</s>	<s>gondolun</s>	<s>gondolun</s>
<s>şirketlerimden</s>	<s>şirketinizi</s>	<s>şirketinizi</s>
<s>jaluzilerimize</s>	<s>jaluzilerimizden</s>	<s>jaluzilerimizden</s>
<s>yeniliğinizden</s>	<s>yeniliklerinde</s>	<s>yeniliklerinde</s>
<s>dürbünlerimden</s>	<s>dürbünlerim</s>	<s>dürbünlerim</s>
<s>duymalarınızın</s>	<s>duymamızı</s>	<s>duymamızı</s>
<s>hükûmetleriniz</s>	<s>hükûmetlerinin</s>	<s>hükûmetlerinin</s>
<s>permütasyonumu</s>	<s>permütasyonlarımı</s>	<s>permütasyonlarımı</s>
<s>söğütlerimizin</s>	<s>söğütlerinin</s>	<s>söğütlerinin</s>
<s>masumiyettiniz</s>	<s>masumiyetlerinde</s>	<s>masumiyetlerinde</s>
<s>acıtmayacaksın</s>	<s>acıtmayız</s>	<s>acıtmayız</s>
<s>bileşiğimizden</s>	<s>bileşiği</s>	<s>bileşiği</s>
<s>gençliklerimin</s>	<s>gençlikte</s>	<s>gençlikte</s>
<s>altdillerinizi</s>	<s>altdilinin</s>	<s>altdilinin</s>
<s>çekmecelerimin</s>	<s>çekmeceden</s>	<s>çekmeceden</s>
<s>geciktirmezsin</s>	<s>geciktirmedim</s>	<s>geciktirmedim</s>
<s>mısırlarınızda</s>	<s>mısırlarımı</s>	<s>mısırlarımı</s>
<s>disleksilerden</s>	<s>disleksilerimiz</s>	<s>disleksilerimiz</s>
<s>kuyumcularımız</s>	<s>kuyumcularının</s>	<s>kuyumcularının</s>
<s>birleştirdiler</s>	<s>birleştirdin</s>	<s>birleştirdin</s>
<s>frizbilerinizi</s>	<s>frizbinizin</s>	<s>frizbinizin</s>
<s>baldızlarsınız</s>	<s>baldızlardır</s>	<s>baldızlardır</s>
<s>gitarlarınızda</s>	<s>gitarlar</s>	<s>gitarlar</s>
<s>erimelerimizde</s>	<s>erimemize</s>	<s>erimemize</s>
<s>zürriyetlerimi</s>	<s>zürriyetlerini</s>	<s>zürriyetlerini</s>
<s>biletlerimizin</s>	<s>biletlerimizi</s>	<s>biletlerimizi</s>
<s>canlanmıyorduk</s>	<s>canlanır</s>	<s>canlanır</s>
<s>onarmayacaklar</s>	<s>onarmazsın</s>	<s>onarmazsın</s>
<s>derlemelerimde</s>	<s>derlemelerinin</s>	<s>derlemelerinin</s>
<s>marangozunuzun</s>	<s>marangozlardı</s>	<s>marangozlardı</s>
<s>kardeleninizde</s>	<s>kardelenlerinden</s>	<s>kardelenlerinden</s>
<s>ocaklarınızdan</s>	<s>ocaklarımın</s>	<s>ocaklarımın</s>
<s>bebeklerimizde</s>	<s>bebeğinizi</s>	<s>bebeğinizi</s>
<s>keserlarınızın</s>	<s>keserlarını</s>	<s>keserlarını</s>
<s>makinelerimize</s>	<s>makinelerimiz</s>	<s>makinelerimiz</s>
<s>namazlarınızın</s>	<s>namazlarımın</s>	<s>namazlarımın</s>
<s>karakollarımız</s>	<s>karakol</s>	<s>karakol</s>
<s>külfetlerinizi</s>	<s>külfetimize</s>	<s>külfetimize</s>
<s>sinagoglarınız</s>	<s>sinagoglarıma</s>	<s>sinagoglarıma</s>
<s>onguncularında</s>	<s>onguncunuzu</s>	<s>onguncunuzu</s>
<s>gidileceksiniz</s>	<s>gidilir</s>	<s>gidilir</s>
<s>seyretmiyordun</s>	<s>seyretmeyecek</s>	<s>seyretmeyecek</s>
<s>çubuklarınızda</s>	<s>çubuklarının</s>	<s>çubuklarının</s>
<s>diskoteklerimi</s>	<s>diskoteğimde</s>	<s>diskoteğimde</s>
<s>çimkelerinizde</s>	<s>çimkelerinden</s>	<s>çimkelerinden</s>
<s>metrdotelleriz</s>	<s>metrdoteline</s>	<s>metrdoteline</s>
<s>lügatçelerinin</s>	<s>lügatçemizin</s>	<s>lügatçemizin</s>
<s>dernekmişsiniz</s>	<s>dernek</s>	<s>dernek</s>
<s>kaydedicimizin</s>	<s>kaydedicimizi</s>	<s>kaydedicimizi</s>
<s>fotoğrafçısına</s>	<s>fotoğrafçıyız</s>	<s>fotoğrafçıyız</s>
<s>desenlerinizin</s>	<s>deseninin</s>	<s>deseninin</s>
<s>tamlananlardan</s>	<s>tamlananlarda</s>	<s>tamlananlarda</s>
<s>kaplanlarımdan</s>	<s>kaplanımızda</s>	<s>kaplanımızda</s>
<s>filozoflarınız</s>	<s>filozofumdan</s>	<s>filozofumdan</s>
<s>cisimlerinizin</s>	<s>cisimlerimizden</s>	<s>cisimlerimizden</s>
<s>dilsizliğinize</s>	<s>dilsizliklerimin</s>	<s>dilsizliklerimin</s>
<s>kötülerimizden</s>	<s>kötünden</s>	<s>kötünden</s>
<s>ebediliklerini</s>	<s>ebediliklere</s>	<s>ebediliklere</s>
<s>üreticilerimde</s>	<s>üreticilerimize</s>	<s>üreticilerimize</s>
<s>yoğurtçularmış</s>	<s>yoğurtçularında</s>	<s>yoğurtçularında</s>
<s>çekmecelerinin</s>	<s>çekmecemizde</s>	<s>çekmecemizde</s>
<s>pamuklarınızın</s>	<s>pamuklarının</s>	<s>pamuklarının</s>
<s>filizlerinizde</s>	<s>filizlerinde</s>	<s>filizlerinde</s>
<s>haşefelerimizi</s>	<s>haşefelerimizden</s>	<s>haşefelerimizden</s>
<s>kızlıklarımıza</s>	<s>kızlıklara</s>	<s>kızlıklara</s>
<s>kıyafetlerimiz</s>	<s>kıyafetimiz</s>	<s>kıyafetimiz</s>
<s>yoğurtçularını</s>	<s>yoğurtçulardık</s>	<s>yoğurtçulardık</s>
<s>sineklerimizde</s>	<s>sinekleri</s>	<s>sinekleri</s>
<s>yontulmuyorduk</s>	<s>yontulurlar</s>	<s>yontulurlar</s>
<s>benzerlerimizi</s>	<s>benzerlerinden</s>	<s>benzerlerinden</s>
<s>kloroplastınız</s>	<s>kloroplastında</s>	<s>kloroplastında</s>
<s>yoğurtlarınızı</s>	<s>yoğurdumu</s>	<s>yoğurdumu</s>
<s>sürünmeyeceğiz</s>	<s>sürünüyorduk</s>	<s>sürünüyorduk</s>
<s>balıkçılarınız</s>	<s>balıkçılarınızı</s>	<s>balıkçılarınızı</s>
<s>tecritlerinize</s>	<s>tecritlerinde</s>	<s>tecritlerinde</s>
<s>deniliyordunuz</s>	<s>denilmezsiniz</s>	<s>denilmezsiniz</s>
<s>kibritlerinize</s>	<s>kibritine</s>	<s>kibritine</s>
<s>piyanolarımıza</s>	<s>piyanolarda</s>	<s>piyanolarda</s>
<s>hastanelerinde</s>	<s>hastaneye</s>	<s>hastaneye</s>
<s>yayımcılığımda</s>	<s>yayımcılığım</s>	<s>yayımcılığım</s>
<s>smileylerinden</s>	<s>smileyimizde</s>	<s>smileyimizde</s>
<s>portakallarını</s>	<s>portakallarında</s>	<s>portakallarında</s>
<s>eksikliğimizde</s>	<s>eksikliklerin</s>	<s>eksikliklerin</s>
<s>müelliflerimiz</s>	<s>müelliflerine</s>	<s>müelliflerine</s>
<s>oğlanlarınızın</s>	<s>oğlanlar</s>	<s>oğlanlar</s>
<s>geciktirtirsin</s>	<s>geciktirtecek</s>	<s>geciktirtecek</s>
<s>dinletilerimiz</s>	<s>dinletiler</s>	<s>dinletiler</s>
<s>başarıyorsunuz</s>	<s>başarırsınız</s>	<s>başarırsınız</s>
<s>seçmelerimizin</s>	<s>seçmeme</s>	<s>seçmeme</s>
<s>dalgınlıklarda</s>	<s>dalgınlıklardan</s>	<s>dalgınlıklardan</s>
<s>tütüncülerimiz</s>	<s>tütüncümüz</s>	<s>tütüncümüz</s>
<s>şatolarınızdan</s>	<s>şatomu</s>	<s>şatomu</s>
<s>sorularınızdan</s>	<s>sorusu</s>	<s>sorusu</s>
<s>cezeryelerimin</s>	<s>cezeryeden</s>	<s>cezeryeden</s>
<s>canlandırmadın</s>	<s>canlandırmazlar</s>	<s>canlandırmazlar</s>
<s>otostoplarınız</s>	<s>otostobuyu</s>	<s>otostobu</s>
<s>koşturtuyorsun</s>	<s>koşturtmayız</s>	<s>koşturtmayız</s>
<s>çökerticilerde</s>	<s>çökerticiler</s>	<s>çökerticiler</s>
<s>kütüklerinizde</s>	<s>kütüklerinde</s>	<s>kütüklerinde</s>
<s>onarmayacaklar</s>	<s>onardınız</s>	<s>onardınız</s>
<s>fulyalarınızın</s>	<s>fulyamıza</s>	<s>fulyamıza</s>
<s>albatrosumuzun</s>	<s>albatrosunu</s>	<s>albatrosunu</s>
<s>kunduzlarınızda</s>	<s>kunduzumu</s>	<s>kunduzumu</s>
<s>kulübelerimizde</s>	<s>kulübelerinizi</s>	<s>kulübelerinizi</s>
<s>yaptırmayacağım</s>	<s>yaptırmıyorsunuz</s>	<s>yaptırmıyorsunuz</s>
<s>yeterlilikmişiz</s>	<s>yeterliliklerinizi</s>	<s>yeterliliklerinizi</s>
<s>laternalarınıza</s>	<s>laternanız</s>	<s>laternanız</s>
<s>ittirilmiyorlar</s>	<s>ittirildi</s>	<s>ittirildi</s>
<s>ittirtilmediniz</s>	<s>ittirtileceksiniz</s>	<s>ittirtileceksiniz</s>
<s>çökermeyeceksin</s>	<s>çökeriyorsunuz</s>	<s>çökeriyorsunuz</s>
<s>ehemmiyetlerimi</s>	<s>ehemmiyetlerime</s>	<s>ehemmiyetlerime</s>
<s>psikiyatrlardan</s>	<s>psikiyatrları</s>	<s>psikiyatrları</s>
<s>izleyicilerimin</s>	<s>izleyicini</s>	<s>izleyicini</s>
<s>üreticilerdiniz</s>	<s>üreticilermişiz</s>	<s>üreticilermişiz</s>
<s>pozisyonlarımın</s>	<s>pozisyonlarımıza</s>	<s>pozisyonlarımıza</s>
<s>öksürmüyordular</s>	<s>öksürmedik</s>	<s>öksürmedik</s>
<s>kurtarıyorlardı</s>	<s>kurtarmam</s>	<s>kurtarmam</s>
<s>şapkacılarsınız</s>	<s>şapkacısından</s>	<s>şapkacısından</s>
<s>enfeksiyonumdan</s>	<s>enfeksiyonlarınıza</s>	<s>enfeksiyonlarınıza</s>
<s>çökelekmişsiniz</s>	<s>çökelekleriniz</s>	<s>çökelekleriniz</s>
<s>doktorlarınızın</s>	<s>doktorunu</s>	<s>doktorunu</s>
<s>kötüleştirmedik</s>	<s>kötüleştiriyorum</s>	<s>kötüleştiriyorum</s>
<s>totemcilermişiz</s>	<s>totemci</s>	<s>totemci</s>
<s>süründürüyorsun</s>	<s>süründüm</s>	<s>süründürdüm</s>
<s>hemşirelerdiniz</s>	<s>hemşireyiz</s>	<s>hemşireyiz</s>
<s>öğrencilermişiz</s>	<s>öğrencinde</s>	<s>öğrencinde</s>
<s>sistemlerimizin</s>	<s>sistemler</s>	<s>sistemler</s>
<s>şerbetçiliğimde</s>	<s>şerbetçiliğinize</s>	<s>şerbetçiliğinize</s>
<s>similyalarınızı</s>	<s>similyayı</s>	<s>similyayı</s>
<s>başlangıcınızın</s>	<s>başlangıcından</s>	<s>başlangıcından</s>
<s>cikletlerimizde</s>	<s>cikletlerimi</s>	<s>cikletlerimi</s>
<s>satışlarınızdan</s>	<s>satışlarından</s>	<s>satışlarından</s>
<s>yapbozlarımızın</s>	<s>yapbozlarından</s>	<s>yapbozlarından</s>
<s>sağrılarınızdan</s>	<s>sağrıma</s>	<s>sağrıma</s>
<s>tarabalarınızın</s>	<s>tarabamın</s>	<s>tarabamın</s>
<s>terzilerimizden</s>	<s>terziyiz</s>	<s>terziyiz</s>
<s>orangutanlarını</s>	<s>orangutana</s>	<s>orangutana</s>
<s>çantalarımızdan</s>	<s>çantanızda</s>	<s>çantanızda</s>
<s>bükülmüyorsunuz</s>	<s>büküleceğiz</s>	<s>büküleceğiz</s>
<s>cezalandırmadın</s>	<s>cezalandırmıyoruz</s>	<s>cezalandırmıyoruz</s>
<s>dedikoducuların</s>	<s>dedikoducularınıza</s>	<s>dedikoducularınıza</s>
<s>lunaparkınızdan</s>	<s>lunaparklarımın</s>	<s>lunaparklarımın</s>
<s>haberleşeceksin</s>	<s>haberleşirim</s>	<s>haberleşirim</s>
<s>derlemelerinize</s>	<s>derlemelerinizi</s>	<s>derlemelerinizi</s>
<s>topluluklarınız</s>	<s>topluluklarını</s>	<s>topluluklarını</s>
<s>marangozlarımda</s>	<s>marangozumun</s>	<s>marangozumun</s>
<s>silmeyeceksiniz</s>	<s>sileceksin</s>	<s>sileceksin</s>
<s>patronlarınızın</s>	<s>patronlarımı</s>	<s>patronlarımı</s>
<s>öfkelendirdiniz</s>	<s>öfkelendirmiyordun</s>	<s>öfkelendirmiyordun</s>
<s>ombudsmanınızın</s>	<s>ombudsmanda</s>	<s>ombudsmanda</s>
<s>ketçaplarınızda</s>	<s>ketçaplara</s>	<s>ketçaplara</s>
<s>söyleşilerimizi</s>	<s>söyleşisine</s>	<s>söyleşisine</s>
<s>beyinlerimizden</s>	<s>beyindik</s>	<s>beyindik</s>
<s>yontuluyorsunuz</s>	<s>yontuldu</s>	<s>yontuldu</s>
<s>disleksileriniz</s>	<s>disleksinden</s>	<s>disleksinden</s>
<s>sihirbazlarının</s>	<s>sihirbazların</s>	<s>sihirbazların</s>
<s>düzinelerinizin</s>	<s>düzineyi</s>	<s>düzineyi</s>
<s>masallarınızdan</s>	<s>masallarının</s>	<s>masallarının</s>
<s>geğirmiyorsunuz</s>	<s>geğirmediler</s>	<s>geğirmediler</s>
<s>guakamolelerine</s>	<s>guakamolelerini</s>	<s>guakamolelerini</s>
<s>yeşimlerimizden</s>	<s>yeşimlerimizi</s>	<s>yeşimlerimizi</s>
<s>çalgıcılarsınız</s>	<s>çalgıca</s>	<s>çalgıcıya</s>
<s>cumhuriyetinizi</s>	<s>cumhuriyetinizden</s>	<s>cumhuriyetinizden</s>
<s>kâğıtlarınızdan</s>	<s>kâğıtlarınızı</s>	<s>kâğıtlarınızı</s>
<s>tariflerinizden</s>	<s>tarifinde</s>	<s>tarifinde</s>
<s>polinomlarımızı</s>	<s>polinomlara</s>	<s>polinomlara</s>
<s>mezuniyetinizin</s>	<s>mezuniyetiniz</s>	<s>mezuniyetiniz</s>
<s>tepkimelerinize</s>	<s>tepkimelerimizi</s>	<s>tepkimelerimizi</s>
<s>seçmenlerinizin</s>	<s>seçmenlerdir</s>	<s>seçmenlerdir</s>
<s>meşalelerinizde</s>	<s>meşalelerinizi</s>	<s>meşalelerinizi</s>
<s>çapalarmışsınız</s>	<s>çapalardan</s>	<s>çapalardan</s>
<s>paralelkenarlar</s>	<s>paralelkenarları</s>	<s>paralelkenarları</s>
<s>dilsizliklerden</s>	<s>dilsizliğinin</s>	<s>dilsizliğinin</s>
<s>kaldırımlarımız</s>	<s>kaldırımlarına</s>	<s>kaldırımlarına</s>
