otuz bircimiz	otuz birciNNOMSGPSS1P
sikilmiyorlar mıydı?	sikilmekVIND3PLPSTPROGNEGINTR
firavunlarımdan	firavunNABLPLPSS1S
yılan balığında	yılan balığıNLOCSG
seriyor musun?	sermekVIND2SGPRSPROGPOSINTR
kılacaksın	kılmakVIND2SGFUTPOSDECL
geçiniyordun	geçinmekVIND2SGPSTPROGPOSDECL
Hakk'ın rahmetine kavuşuyor muydu?	Hakk'ın rahmetine kavuşmakVIND3SGPSTPROGPOSINTR
makyaj yaptınız	makyaj yapmakVIND2PLPSTPOSDECL
genel kültürümü	genel kültürNACCSGPSS1S
atmatın mı?	atmamakVIND2SGPSTPOSINTR
gazellerdi	gazelNLGSPEC13SPLPST
kümesime	kümesNDATSGPSS1S
ilişkisel modelimde	ilişkisel modelNLOCSGPSS1S
avokadonuzda	avokadoNLOCSGPSS2P
akrobatlardan	akrobatNABLPL
kapı yapmaz mı?	kapı yapmakVIND3SGPRSNEGINTR
tekdilliliklerini	tekdillilikNACCSGPSS3P
sümüğünde	sümükNLOCSGPSS3S
kullanılır mısın?	kullanılmakVIND2SGPRSPOSINTR
örümceğimde	örümcekNLOCSGPSS1S
ongunculukların	ongunculukNNOMPLPSS2S
damadım	damatNLGSPEC11SSGPRS
palikaryalarında	palikaryaNLOCPLPSS3S
zartayı çekiyorum	zartayı çekmekVIND1SGPRSPROGPOSDECL
sağlardın	sağNLGSPEC12SPLPST
limonu	limonNACCSG
pastırmalarından	pastırmaNABLPLPSS2S
akciğerine	akciğerNDATSGPSS2S
blogcunuz	blogcuNNOMSGPSS2P
göçlermiş	göçNLGSPEC13SPLLGSPEC2
siklerimizi	sikNACCPLPSS1P
porsuğumuza	porsukNDATSGPSS1P
anasonlardı	anasonNLGSPEC13PPLPST
manamı	manaNACCSGPSS1S
lahanalarını	lahanaNACCPLPSS3S
aznavurlarının	aznavurNGENPLPSS3P
kapamanızın	kapamaNGENSGPSS2P
silindirimizden	silindirNABLSGPSS1P
çadırlarınızda	çadırNLOCPLPSS2P
dervişimizi	dervişNACCSGPSS1P
giysilerinde	giysiNLOCSGPSS3P
bipime	bipNDATSGPSS1S
canlandırmıyor musun?	canlandırmakVIND2SGPRSPROGNEGINTR
birliklerim	birlikNNOMPLPSS1S
boyayacak mısın?	boyamakVIND2SGFUTPOSINTR
fevt oluyorlar mıydı?	fevt olmakVIND3PLPSTPROGPOSINTR
rahmetli olacak mısın?	rahmetli olmakVIND2SGFUTPOSINTR
yağmalardın	yağmaNLGSPEC12SPLPST
entrikasını	entrikaNACCSGPSS3S
ebediyetinize	ebediyetNDATSGPSS2P
serverdi	serverNLGSPEC13SSGPST
tabutta	tabutNLOCSG
sunucularımızın	sunucuNGENPLPSS1P
peynirli pastalarını	peynirli pastaNACCSGPSS3P
evliliğinden	evlilikNABLSGPSS2S
yalıtımlarının	yalıtımNGENPLPSS2S
sillelerinin	silleNGENSGPSS3P
masumiyetlermişsin	masumiyetNLGSPEC12SPLLGSPEC2
mumluklarında	mumlukNLOCSGPSS3P
vazosun	vazoNLGSPEC12SSGPRS
cartayı çekmediniz mi?	cartayı çekmekVIND2PLPSTNEGINTR
şaşırttırır mıyım?	şaşırttırmakVIND1SGPRSPOSINTR
kılkapanlarınıza	kılkapanNDATPLPSS2P
örer misiniz?	örmekVIND2PLPRSPOSINTR
göğsünde	göğüsNLOCSGPSS3S
barışlarım	barışNNOMPLPSS1S
zulümlerini	zulümNACCPLPSS3S
coşacak mıyım?	coşmakVIND1SGFUTPOSINTR
ekranına	ekranNDATSGPSS3S
boğmayacak mısınız?	boğmakVIND2PLFUTNEGINTR
gizemlerini	gizemNACCPLPSS3S
dirilmeyecekler mi?	dirilmekVIND3PLFUTNEGINTR
ilerletmiyor muydum?	ilerletmekVIND1SGPSTPROGNEGINTR
şaşırmazsın	şaşırmakVIND2SGPRSNEGDECL
müzikalinize	müzikalNDATSGPSS2P
dövmesini	dövmeNACCSGPSS3S
çakıllarımda	çakılNLOCPLPSS1S
silkiyor muydun?	silkmekVIND2SGPSTPROGPOSINTR
dövmelerine	dövmeNDATSGPSS3P
düşey asimptotlarımda	düşey asimptotNLOCPLPSS1S
bakımsızlar mı?	bakımsızADJLGSPEC1PRS3PLPOSINTR
tabutlarıma	tabutNDATPLPSS1S
hançerler	hançerNNOMPL
en küçük ortak kat	en küçük ortak katNACCPLPSS3S
dünürden	dünürNABLSG
oynamaz mıyım?	oynamakVIND1SGPRSNEGINTR
serverini	serverNACCSGPSS3S
yemişlerime	yemişNDATPLPSS1S
atıştı	atışmakVIND3SGPSTPOSDECL
pelikanlarından	pelikanNABLPLPSS3S
otomobilcilerinizde	otomobilciNLOCPLPSS2P
yeterliklerinizi	yeterlikNACCPLPSS2P
şamisenimizde	şamisenNLOCSGPSS1P
fillerdi	filNLGSPEC13SPLPST
büktürülürüm	büktürülmekVIND1SGPRSPOSDECL
peskütanınızın	peskütanNGENSGPSS2P
artıyor muydun?	artmakVIND2SGPSTPROGPOSINTR
sürümlerimize	sürümNDATPLPSS1P
duymadan	duymaNABLSG
keleği	kelekNNOMSGPSS3S
kurutmuyorduk	kurutmakVIND1PLPSTPROGNEGDECL
attırıyorsun	attırmakVIND2SGPRSPROGPOSDECL
uyarıyordunuz	uyarmakVIND2PLPSTPROGPOSDECL
balinalarmışsın	balinaNLGSPEC12SPLLGSPEC2
zayıf istemcimizi	zayıf istemciNACCSGPSS1P
kasidenizin	kasideNGENSGPSS2P
homurtularını	homurtuNACCSGPSS3P
bitkiye	bitkiNDATSG
ucubelere	ucubeNDATPL
yatılı okuluna	yatılı okulNDATSGPSS3S
izolasyonunuz	izolasyonNNOMSGPSS2P
vurgularıma	vurguNDATPLPSS1S
iyileştirir misin?	iyileştirmekVIND2SGPRSPOSINTR
cacıklara	cacıkNDATPL
dılaklarımdan	dılakNABLPLPSS1S
düldüllerinden	düldülNABLPLPSS3P
milyarderlerinizi	milyarderNACCPLPSS2P
verimsizleştirdim mi?	verimsizleştirmekVIND1SGPSTPOSINTR
mühendislerin	mühendisNNOMPLPSS2S
taç yaprağımıza	taç yaprakNDATSGPSS1P
veriliyor muydum?	verilmekVIND1SGPSTPROGPOSINTR
gölgeme	gölgeNDATSGPSS1S
dövüşmüyor muydu?	dövüşmekVIND3SGPSTPROGNEGINTR
ısıları	ısıNNOMPLPSS3P
hıçkırığında	hıçkırıkNLOCSGPSS3S
rotorun	rotorNNOMSGPSS2S
şamdanlarımıza	şamdanNDATPLPSS1P
emmedik mi?	emmekVIND1PLPSTNEGINTR
valizleri	valizNNOMPLPSS3P
kravatları	kravatNNOMPLPSS3S
öpüyordu	öpmekVIND3SGPSTPROGPOSDECL
noktalı virgüllerin	noktalı virgülNNOMPLPSS2S
gelişti	gelişmekVIND3SGPSTPOSDECL
ölümsüzleştirmez	ölümsüzleştirmekVIND3SGPRSNEGDECL
yağmurlarına	yağmurNDATPLPSS3P
dalgınlıklardan	dalgınlıkNABLPL
kispetlerde	kispetNLOCPL
büyülü değil miymişsin?	büyülüADJLGSPEC1LGSPEC22SGNEGINTR
anahtar kelimelerde	anahtar kelimeNLOCPL
büküyoruz	bükmekVIND1PLPRSPROGPOSDECL
ortalarının	ortaNGENPLPSS3P
etkilemiyor muydu?	etkilemekVIND3SGPSTPROGNEGINTR
uyuyorlar mı?	uymakVIND3PLPRSPROGPOSINTR
dinlenmememden	dinlenmemeNABLSGPSS1S
psikoterapilerinde	psikoterapiNLOCPLPSS3S
öpüyorsunuz	öpmekVIND2PLPRSPROGPOSDECL
kafatasları	kafatasıNNOMPL
tarihçilerinden	tarihçiNABLPLPSS3S
üçlüleri	üçlüNNOMSGPSS3P
şaşıyor	şaşmakVIND3SGPRSPROGPOSDECL
milyarderlerinde	milyarderNLOCPLPSS3S
hayırseverimden	hayırseverNABLSGPSS1S
sınırlarının	sınırNGENPLPSS3S
kursiyerdin	kursiyerNLGSPEC12SSGPST
falcımızda	falcıNLOCSGPSS1P
ikincil sürümlerinizden	ikincil sürümNABLPLPSS2P
nükleer kışlarınız	nükleer kışNNOMPLPSS2P
kokulara	kokuNDATPL
tutmayacaklar	tutmakVIND3PLFUTNEGDECL
rehinelerinden	rehineNABLSGPSS3P
mantıklarımı	mantıkNACCPLPSS1S
yıpratmıyorduk	yıpratmakVIND1PLPSTPROGNEGDECL
tek sayımızı	tek sayıNACCSGPSS1P
burunlarınız	burunNNOMPLPSS2P
düzenlenebilirlikten	düzenlenebilirlikNABLSG
sınırlı integrallerine	sınırlı integralNDATPLPSS3S
mihrabını	mihrapNACCSGPSS2S
kruvasanlarımızın	kruvasanNGENPLPSS1P
şerbetçiliğimizin	şerbetçilikNGENSGPSS1P
okiyalara	okiyaNDATPL
aksisedanızı	aksisedaNACCSGPSS2P
vahamızın	vahaNGENSGPSS1P
örtmüyor mu?	örtmekVIND3SGPRSPROGNEGINTR
körfezlerinden	körfezNABLPLPSS3P
türemiyor muydunuz?	türemekVIND2PLPSTPROGNEGINTR
yaseminlerde	yaseminNLOCPL
üzmediniz	üzmekVIND2PLPSTNEGDECL
müzikallerine	müzikalNDATPLPSS2S
peronlarından	peronNABLPLPSS2S
attırmadılar	attırmakVIND3PLPSTNEGDECL
fetişlerinin	fetişNGENPLPSS3P
altımda	altNLOCSGPSS1S
kakmıyor muydu?	kakmakVIND3SGPSTPROGNEGINTR
güvenliliklerini	güvenlilikNACCPLPSS2S
yoldurtmayacak mıyım?	yoldurtmakVIND1SGFUTNEGINTR
tercihlerim	tercihNLGSPEC11SPLPRS
sinagogunda	sinagogNLOCSGPSS3S
öldürtülmüyorsun	öldürtülmekVIND2SGPRSPROGNEGDECL
yumurtalıklarına	yumurtalıkNDATPLPSS3P
özlemimin	özlemNGENSGPSS1S
saydırtmıyor muyuz?	saydırtmakVIND1PLPRSPROGNEGINTR
fillerinin	filNGENPLPSS3P
kapamalardır	kapamaNLGSPEC13PPLPRS
mağaralarımızı	mağaraNACCPLPSS1P
insan-ı kâmiller	insan-ı kâmilNLGSPEC13PSGPRS
reaktörünüzün	reaktörNGENSGPSS2P
benzemedin	benzemekVIND2SGPSTNEGDECL
ahududunun	ahududuNGENSG
kıskanç değildik	kıskançADJLGSPEC1PST1PLNEGDECL
keşlere	keşNDATPL
seyretmiyor musun?	seyretmekVIND2SGPRSPROGNEGINTR
pozisyonlarımız	pozisyonNNOMPLPSS1P
alındırtmayacak	alındırtmakVIND3SGFUTNEGDECL
öldünüz mü?	ölmekVIND2PLPSTPOSINTR
şapkacısına	şapkacıNDATSGPSS3S
ölecek mi?	ölmekVIND3SGFUTPOSINTR
mahlebimizi	mahlepNACCSGPSS1P
sapanmışım	sapanNLGSPEC11SSGLGSPEC2
uydularımı	uyduNACCPLPSS1S
eklerini	ekNACCPLPSS3P
abajurlarını	abajurNACCPLPSS3S
ateşler	ateşNNOMPL
kadayıfta	kadayıfNLOCSG
soluyor muyuz?	solumakVIND1PLPRSPROGPOSINTR
saksolardan	saksoNABLPL
öldürtmüyor mu?	öldürtmekVIND3SGPRSPROGNEGINTR
dinlenmemelerinin	dinlenmemeNGENPLPSS3S
kaltaklarına	kaltakNDATPLPSS2S
misketim	misketNNOMSGPSS1S
tasamızı	tasaNACCSGPSS1P
söğütler	söğütNNOMPL
güzelleştirmeyecekler mi?	güzelleştirmekVIND3PLFUTNEGINTR
sözcülüklerinde	sözcülükNLOCPLPSS3P
kuyruğu titreteceksin	kuyruğu titretmekVIND2SGFUTPOSDECL
hançerlerime	hançerNDATPLPSS1S
leşimi	leşNACCSGPSS1S
armut	armutNNOMSG
sürtüklüklerinde	sürtüklükNLOCPLPSS3S
vadelerinizin	vadeNGENPLPSS2P
mumyalarsınız	mumyaNLGSPEC12PPLPRS
sayfalandırmalarınız	sayfalandırmaNNOMPLPSS2P
bermudaları	bermudaNACCPL
dişlekliğiinde	dişleklikNLOCSGPSS2S
üşenmiyorlar	üşenmekVIND3PLPRSPROGNEGDECL
dağınık mıydılar?	dağınıkADJLGSPEC1PST3PLPOSINTR
kuyularım	kuyuNLGSPEC11SPLPRS
metrdotellerinde	metrdotelNLOCSGPSS3P
dilimlerini	dilimNACCPLPSS3S
gelişirsin	gelişmekVIND2SGPRSPOSDECL
sıralamalarını	sıralamaNACCPLPSS3P
keşfettin mi?	keşfetmekVIND2SGPSTPOSINTR
ütüler	ütüNLGSPEC13PSGPRS
fındık kırmıyorsunuz	fındık kırmakVIND2PLPRSPROGNEGDECL
askerimi	askerNACCSGPSS1S
takvimlermişsiniz	takvimNLGSPEC12PPLLGSPEC2
kasidesi	kasideNNOMSGPSS3S
dokamadım	dokumakVIND1SGPSTNEGDECL
tundralarınıza	tundraNDATPLPSS2P
diskoteklerimizi	diskotekNACCPLPSS1P
sosisli sandviçlerinizde	sosisli sandviçNLOCPLPSS2P
süzgeçlerin	süzgeçNGENPL
jonglörüm	jonglörNNOMSGPSS1S
yapışıyor muydu?	yapışmakVIND3SGPSTPROGPOSINTR
sikişmiyor	sikişmekVIND3SGPRSPROGNEGDECL
girdabımda	girdapNLOCSGPSS1S
dünürünün	dünürNGENSGPSS2S
seçilmeyecek misin?	seçilmekVIND2SGFUTNEGINTR
tek boynuzlu atı	tek boynuzlu atNACCSG
bürüyordu	bürümekVIND3SGPSTPROGPOSDECL
çırağımızın	çırakNGENSGPSS1P
çoğulları	çoğulNNOMPLPSS3P
canlandırmalarından	canlandırmaNABLSGPSS3P
kovdurtmuyorlar	kovdurtmakVIND3PLPRSPROGNEGDECL
hatırımızda	hatırNLOCSGPSS1P
yardımcılarımızın	yardımcıNGENPLPSS1P
baytardım	baytarNLGSPEC11SSGPST
kurumuyor muydu?	kurumakVIND3SGPSTPROGNEGINTR
seçmenlerimi	seçmenNACCPLPSS1S
koruyucum	koruyucuNNOMSGPSS1S
ölçüldüm	ölçülmekVIND1SGPSTPOSDECL
yapılmayacak mısın?	yapılmakVIND2SGFUTNEGINTR
ramazanlarında	ramazanNLOCPLPSS2S
yaratmalarına	yaratmaNDATSGPSS3P
şalın	şalNGENSG
sürter misiniz?	sürtmekVIND2PLPRSPOSINTR
devingenlikleri	devingenlikNNOMPLPSS3P
avcı sineğinde	avcı sinekNLOCSGPSS2S
öğretmenlere	öğretmenNDATPL
helak olmadınız	helak olmakVIND2PLPSTNEGDECL
tümcelerimiz	tümceNNOMPLPSS1P
yoğurtlarınızda	yoğurtNLOCPLPSS2P
solucanı	solucanNNOMSGPSS3S
lastikleri	lastikNNOMPLPSS3S
lunaparklarda	lunaparkNLOCPL
hapislerim	hapisNNOMPLPSS1S
virgülde	virgülNLOCSG
kuvvetlerimize	kuvvetNDATPLPSS1P
geceliğimize	gecelikNDATSGPSS1P
koşucuymuşuz	koşucuNLGSPEC11PSGLGSPEC2
doğrar mıyım?	doğramakVIND1SGPRSPOSINTR
mutlak sıfırlarımızı	mutlak sıfırNACCPLPSS1P
ehemmiyetsizliklerin	ehemmiyetsizlikNNOMPLPSS2S
semerlerinizden	semerNABLPLPSS2P
biniyor musun?	binmekVIND2SGPRSPROGPOSINTR
pipin	pipiNNOMSGPSS2S
koruyucuydunuz	koruyucuNLGSPEC12PSGPST
inlerine	inNDATPLPSS3S
ana fikirlerinizi	ana fikirNACCPLPSS2P
kuvvetlerimizi	kuvvetNACCPLPSS1P
üst bağlarımıza	üst bağNDATPLPSS1P
istisnayı	istisnaNACCSG
bürüdüm mü?	bürümekVIND1SGPSTPOSINTR
boy ölçüşmediler mi?	boy ölçüşmekVIND3PLPSTNEGINTR
ceplerine	cepNDATPLPSS3S
uymuyor musunuz?	uymakVIND2PLPRSPROGNEGINTR
gafletlerinde	gafletNLOCSGPSS3P
diskonuzun	diskoNGENSGPSS2P
iskenderleriz	iskenderNLGSPEC11PPLPRS
börülceleriz	börülceNLGSPEC11PPLPRS
yenilmedi mi?	yenilmekVIND3SGPSTNEGINTR
mucizelerinde	mucizeNLOCSGPSS3P
katillermişsiniz	katilNLGSPEC12PPLLGSPEC2
cumhurdan	cumhurNABLSG
gecikirler mi?	gecikmekVIND3PLPRSPOSINTR
konserim	konserNNOMSGPSS1S
klatratlarımızı	klatratNACCPLPSS1P
dövüşçüsü	dövüşçüNNOMSGPSS3S
öğüttünüz	öğütmekVIND2PLPSTPOSDECL
kayıtlarının	kayıtNGENPLPSS3S
yaklaşırsınız	yaklaşmakVIND2PLPRSPOSDECL
bilyenden	bilyeNABLSGPSS2S
bir avuç toprak olacak mısınız?	bir avuç toprak olmakVIND2PLFUTPOSINTR
itlerinizde	itNLOCPLPSS2P
teklifimizin	teklifNGENSGPSS1P
seksleri	seksNACCPL
soluduk	solumakVIND1PLPSTPOSDECL
öksürüğün	öksürükNGENSG
huzurum	huzurNNOMSGPSS1S
yörekentinden	yörekentNABLSGPSS2S
kimyasal tepkimelerinden	kimyasal tepkimeNABLPLPSS3S
çatacak mısın?	çatmakVIND2SGFUTPOSINTR
karpuzlarım	karpuzNLGSPEC11SPLPRS
pozisyonların	pozisyonNNOMPLPSS2S
rahatsızlanır mıyım?	rahatsızlanmakVIND1SGPRSPOSINTR
burnuna	burunNDATSGPSS3S
eşyalarız	eşyaNLGSPEC11PPLPRS
tavernanızın	tavernaNGENSGPSS2P
cenubunuzu	cenupNACCSGPSS2P
taklitçilerim	taklitçiNLGSPEC11SPLPRS
gazetesi	gazeteNNOMSGPSS3S
aşçıydı	aşçıNLGSPEC13SSGPST
periyodik cetvelinden	periyodik cetvelNABLSGPSS3S
yakışıklı değil miymişler?	yakışıklıADJLGSPEC1LGSPEC23PLNEGINTR
pasif değil miymişsin?	pasifADJLGSPEC1LGSPEC22SGNEGINTR
fibrinojenimiz	fibrinojenNNOMSGPSS1P
örsünü	örsNACCSGPSS2S
kâğıtlarında	kâğıtNLOCPLPSS3S
ettirtiyor muydunuz?	ettirtmekVIND2PLPSTPROGPOSINTR
yağlamıyor	yağlamakVIND3SGPRSPROGNEGDECL
mezuniyetlerimi	mezuniyetNACCPLPSS1S
eşcinsellerinizde	eşcinselNLOCPLPSS2P
dağılmadınız	dağılmakVIND2PLPSTNEGDECL
sıvılaşıyor muyuz?	sıvılaşmakVIND1PLPRSPROGPOSINTR
planetini	planetNACCSGPSS3S
hatada	hataNLOCSG
terapistlerinin	terapistNGENSGPSS3P
ropdöşambırımdan	ropdöşambırNABLSGPSS1S
külotlu çorapları	külotlu çorapNNOMPLPSS3S
keçiydi	keçiNLGSPEC13SSGPST
sağlar	sağNLGSPEC13PSGPRS
yapılmıyoruz	yapılmakVIND1PLPRSPROGNEGDECL
beklemedik	beklemekVIND1PLPSTNEGDECL
soymuyordunuz	soymakVIND2PLPSTPROGNEGDECL
eskemeyecekler	eskimekVIND3PLFUTNEGDECL
nedendik	nedenNLGSPEC11PSGPST
yolculuklarınızdan	yolculukNABLPLPSS2P
saksafon	saksafonNNOMSG
enstrümantallerinden	enstrümantalNABLPLPSS3S
doktorlarmış	doktorNLGSPEC13SPLLGSPEC2
radyoaktif bozunumunda	radyoaktif bozunumNLOCSGPSS3S
yer elması	yer elmasıNNOMSG
dizelerini	dizeNACCPLPSS3S
gözlükçülerine	gözlükçüNDATPLPSS3S
ayrımcılığının	ayrımcılıkNGENSGPSS2S
yeniliklerinden	yenilikNABLPLPSS3P
duymalarına	duymaNDATSGPSS3P
yoldaşlar	yoldaşNLGSPEC13PSGPRS
arkadaşlıklarımızda	arkadaşlıkNLOCPLPSS1P
deistlerine	deistNDATPLPSS3P
emmiyor muyduk?	emmekVIND1PLPSTPROGNEGINTR
yalın hali	yalın halNACCSG
müşterilerini	müşteriNACCSGPSS3P
kerpice	kerpiçNDATSG
eğleniyorum	eğlenmekVIND1SGPRSPROGPOSDECL
adsızmışız	adsızADJLGSPEC1LGSPEC21PLPOSDECL
supaplarına	supapNDATPLPSS2S
gerzeğimiz	gerzekNNOMSGPSS1P
canlanmaacaksın	canlanmamakVIND2SGFUTPOSDECL
gökkuşaklarından	gökkuşağıNABLPL
cevap veriyor muydum?	cevap vermekVIND1SGPSTPROGPOSINTR
güzelleştiriyorlar mıydı?	güzelleştirmekVIND3PLPSTPROGPOSINTR
ipeğinden	ipekNABLSGPSS3S
yaramızda	yaraNLOCSGPSS1P
ağalardınız	ağaNLGSPEC12PPLPST
gülüşlerinin	gülüşNGENPLPSS2S
ürününde	ürünNLOCSGPSS2S
leblebilerimizin	leblebiNGENPLPSS1P
yummaz mıyız?	yummakVIND1PLPRSNEGINTR
levreklerimden	levrekNABLPLPSS1S
sosislerinin	sosisNGENPLPSS3S
aşurelerimiz	aşureNNOMPLPSS1P
çatalı	çatalNNOMSGPSS3S
çığlıklarımdan	çığlıkNABLPLPSS1S
kanıtlamadın mı?	kanıtlamakVIND2SGPSTNEGINTR
depresyondan	depresyonNABLSG
kovuluyor muyduk?	kovulmakVIND1PLPSTPROGPOSINTR
kaslarınızdan	kasNABLPLPSS2P
keşleriniz	keşNNOMPLPSS2P
dedilkodu yapmıyor muydun?	dedikodu yapmakVIND2SGPSTPROGNEGINTR
salıncağımız	salıncakNNOMSGPSS1P
ketçaplarımızdan	ketçapNABLPLPSS1P
verimsizleştirmediniz	verimsizleştirmekVIND2PLPSTNEGDECL
susuzlukta	susuzlukNLOCSG
cibinlerinden	cibinNABLPLPSS3P
utandırırız	utandırmakVIND1PLPRSPOSDECL
kötüleştirirsiniz	kötüleştirmekVIND2PLPRSPOSDECL
sağduyularında	sağduyuNLOCPLPSS3P
yoldaşlarmışım	yoldaşNLGSPEC11SPLLGSPEC2
börülcelerdin	börülceNLGSPEC12SPLPST
gerilerinizi	geriNACCPLPSS2P
meşeniz	meşeNNOMSGPSS2P
söver	sövmekVIND3SGPRSPOSDECL
soslarınıza	sosNDATPLPSS2P
otostop çekecek mi?	otostop çekmekVIND3SGFUTPOSINTR
kıskanmaz mıyım?	kıskanmakVIND1SGPRSNEGINTR
öykülerdik	öyküNLGSPEC11PPLPST
azmıyor muydu?	azmakVIND3SGPSTPROGNEGINTR
çapalarımda	çapaNLOCPLPSS1S
mayolar	mayoNNOMPL
kısalığına	kısalıkNDATSGPSS2S
yalın durumdan	yalın durumNABLSG
ayakkabılarsın	ayakkabıNLGSPEC12SPLPRS
bilgisayar korsanları	bilgisayar korsanıNNOMPL
namazında	namazNLOCSGPSS2S
aşkları	aşkNNOMPLPSS3S
yontulmayız	yontulmakVIND1PLPRSNEGDECL
kurbağalamalarıma	kurbağalamaNDATPLPSS1S
şifonyerini	şifonyerNACCSGPSS3S
yengeçlerinizin	yengeçNGENPLPSS2P
bakanlarınıza	bakanNDATPLPSS2P
rehinesinde	rehineNLOCSGPSS3S
elektrikli sandalyeleriniz	elektrikli sandalyeNNOMPLPSS2P
ittirtirim	ittirtmekVIND1SGPRSPOSDECL
tavernalarıma	tavernaNDATPLPSS1S
sütyenlerinden	sütyenNABLPLPSS3S
frekansınızı	frekansNACCSGPSS2P
bürümeyecekler	bürümekVIND3PLFUTNEGDECL
coşmuyor	coşmakVIND3SGPRSPROGNEGDECL
ummanlarına	ummanNDATSGPSS3P
uçurtmalardı	uçurtmaNLGSPEC13SPLPST
baharata	baharatNDATSG
hecenizden	heceNABLSGPSS2P
fizikçiler	fizikçiNLGSPEC13PSGPRS
umutlu değil miydin?	umutluADJLGSPEC1PST2SGNEGINTR
böceklerimden	böcekNABLPLPSS1S
verir	vermekVIND3SGPRSPOSDECL
krepimiz	krepNNOMSGPSS1P
sapandık	sapanNLGSPEC11PSGPST
külahlarını	külahNACCSGPSS3P
körümüze	körNDATSGPSS1P
ziyaretçilerimi	ziyaretçiNACCPLPSS1S
boşalmamıza	boşalmaNDATSGPSS1P
müezzinimin	müezzinNGENSGPSS1S
yapı	yapıNNOMSG
tek sayıları	tek sayıNNOMPLPSS3P
kaşesi	kaşeNNOMSGPSS3S
maratoncularından	maratoncuNABLPLPSS2S
köpek balığını	köpek balığıNACCSG
iribaşımızın	iribaşNGENSGPSS1P
haberleşirsin	haberleşmekVIND2SGPRSPOSDECL
kararmadılar	kararmakVIND3PLPSTNEGDECL
onarmaz mı?	onarmakVIND3SGPRSNEGINTR
dağıtıyorum	dağıtmakVIND1SGPRSPROGPOSDECL
vişnelerimizden	vişneNABLPLPSS1P
palmiyelerinin	palmiyeNGENPLPSS2S
zengin istemciymişler	zengin istemciNLGSPEC13PSGLGSPEC2
körlerimizi	körNACCPLPSS1P
kattın mı?	katmakVIND2SGPSTPOSINTR
kandil simidinde	kandil simidiNLOCSG
Duşanbelilerin	DuşanbeliNNOMPLPSS2S
lokmaları	lokmaNNOMPLPSS3P
pornolarda	pornoNLOCPL
figüran	figüranNNOMSG
objelerim	objeNNOMPLPSS1S
basların	basNNOMPLPSS2S
öğretiyorlar mıydı?	öğretmekVIND3PLPSTPROGPOSINTR
gereksiniminizde	gereksinimNLOCSGPSS2P
hüzünlerinde	hüzünNLOCPLPSS2S
amcalarının	amcaNGENSGPSS3P
sinematografımın	sinematografNGENSGPSS1S
vibratörün	vibratörNGENSG
hastalanmıyorduk	hastalanmakVIND1PLPSTPROGNEGDECL
sumağımız	sumakNNOMSGPSS1P
yoğurtçumu	yoğurtçuNACCSGPSS1S
vurursunuz	vurmakVIND2PLPRSPOSDECL
kalıbı dinlendiriyor	kalıbı dinlendirmekVIND3SGPRSPROGPOSDECL
zaferimin	zaferNGENSGPSS1S
cinsel birleşmelerin	cinsel birleşmeNGENPL
okiyalarında	okiyaNLOCPLPSS2S
gerekecek miyim?	gerekmekVIND1SGFUTPOSINTR
marangozlarsınız	marangozNLGSPEC12PPLPRS
büktürtmedik	büktürtmemekVIND1PLPSTNEGDECL
figüranlarımız	figüranNNOMPLPSS1P
sinagoguna	sinagogNDATSGPSS2S
cihazlarımın	cihazNGENPLPSS1S
uydularmışsın	uyduNLGSPEC12SPLLGSPEC2
konjenital defektlerinden	konjenital defektNABLSGPSS3P
zammınızı	zamNACCSGPSS2P
börülceyiz	börülceNLGSPEC11PSGPRS
alındırtmayacak mısınız?	alındırtmakVIND2PLFUTNEGINTR
süt sağmadınız mı?	süt sağmakVIND2PLPSTNEGINTR
karanlık enerjiler	karanlık enerjiNNOMPL
fonksiyonuma	fonksiyonNDATSGPSS1S
şırıngamızın	şırıngaNGENSGPSS1P
örtülerinden	örtüNABLSGPSS3P
fındığı	fındıkNNOMSGPSS3S
noktalarmış	noktaNLGSPEC13PPLLGSPEC2
yedeklerdiniz	yedekNLGSPEC12PPLPST
satın alırlar mı?	satın almakVIND3PLPRSPOSINTR
sessizliklerinde	sessizlikNLOCPLPSS3P
tıkar mıyız?	tıkmakVIND1PLPRSPOSINTR
cücelerdin	cüceNLGSPEC12SPLPST
volkanımızdan	volkanNABLSGPSS1P
ibneymişiz	ibneNLGSPEC11PSGLGSPEC2
kanlılıklarından	kanlılıkNABLSGPSS3P
küremeyeceksiniz	küremekVIND2PLFUTNEGDECL
yeşimleri	yeşimNNOMPLPSS3S
devinmez mi?	devinmekVIND3SGPRSNEGINTR
ecelerinin	eceNGENPLPSS3S
eğilmedin mi?	eğilmekVIND2SGPSTNEGINTR
hatırınızı	hatırNACCSGPSS2P
yaratmaya	yaratmaNDATSG
ekonomisti	ekonomistNACCSG
örecekler mi?	örmekVIND3PLFUTPOSINTR
pusmuyordum	pusmakVIND1SGPSTPROGNEGDECL
siklerini	sikNACCPLPSS3S
verniklemelerime	verniklemeNDATPLPSS1S
gecelerinin	geceNGENPLPSS3P
bacısı	bacıNNOMSGPSS3S
eğdiniz	eğmekVIND2PLPSTPOSDECL
ekini	ekNACCSGPSS2S
menilerime	meniNDATPLPSS1S
terapistlerinizin	terapistNGENPLPSS2P
prensiplerinizden	prensipNABLPLPSS2P
deldiniz mi?	delmekVIND2PLPSTPOSINTR
konferansımız	konferansNNOMSGPSS1P
